part_number,name_en,name_cn,spec_cn,retail_price,fitment
602006-0015,black bar grip,把 套,黑色 底部空白,10.2,"[{""make"": ""Kayo"", ""year"": 2019, ""model"": ""AU200"", ""section"": null, ""variant"": null, ""callout_no"": ""1"", ""confidence"": ""high"", ""model_code"": ""AU200""}]"
602006-0026,bar grip,把 套,黑色 带防滑纹 底部空白,10.2,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""AU300"", ""section"": null, ""variant"": null, ""callout_no"": ""1"", ""confidence"": ""high"", ""model_code"": ""AU300""}]"
313001-0008,multi-functional switch,组合开关,四功能/带风门开关/CT-S01 防水插件 线长600,34,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""AU150"", ""section"": null, ""variant"": null, ""callout_no"": ""2"", ""confidence"": ""high"", ""model_code"": ""AU150""}]"
602001-0014,black handle bar,钢制方向把,亚黑塑 670*174 Φ12横杆/左边带Φ5孔,57.8,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""AY70-2"", ""section"": null, ""variant"": null, ""callout_no"": ""3"", ""confidence"": ""high"", ""model_code"": ""AY70-2""}]"
602017-0003,handlebar foam,护套芯,黑色 开槽 泡棉Φ12*53*200 腾阳,8.5,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""AY70-2"", ""section"": null, ""variant"": null, ""callout_no"": ""4"", ""confidence"": ""high"", ""model_code"": ""AY70-2""}]"
313003-0011,stop switch,熄火开关,拉帽式/红帽黑线,17,"[{""make"": ""Kayo"", ""year"": 2021, ""model"": ""AU125-2"", ""section"": null, ""variant"": null, ""callout_no"": ""5"", ""confidence"": ""high"", ""model_code"": ""AU125-2""}]"
313003-0011-02,stop switch(new),熄火开关,拉帽式/红帽红拉线,17,"[{""make"": ""Kayo"", ""year"": 2021, ""model"": ""AU125-2"", ""section"": null, ""variant"": null, ""callout_no"": ""5"", ""confidence"": ""high"", ""model_code"": ""AU125-2""}]"
602014-0036,throttle cable,油门线,黑色 皮长600尾长72,17,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""AU110"", ""section"": null, ""variant"": ""EPA"", ""callout_no"": ""6"", ""confidence"": ""high"", ""model_code"": ""AU110""}]"
602011-0008-02,accelerator,加速器,黑色 小握距,25.5,"[{""make"": ""Kayo"", ""year"": 2021, ""model"": ""AU125-2"", ""section"": null, ""variant"": null, ""callout_no"": ""7"", ""confidence"": ""high"", ""model_code"": ""AU125-2""}]"
906003-0002,plastic belt,塑料扎带,黑色 5*200mm 包/380根,1.7,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""EKMB"", ""section"": ""eKMB"", ""variant"": null, ""callout_no"": ""2"", ""confidence"": ""high"", ""model_code"": ""EKMB""}]"
602015-0003,chock cable,风门线,黑色 皮长600尾长50,17,"[{""make"": ""Kayo"", ""year"": 2021, ""model"": ""AU125-2"", ""section"": null, ""variant"": null, ""callout_no"": ""4"", ""confidence"": ""high"", ""model_code"": ""AU125-2""}]"
404000-0128,front disc brake assy.,前碟刹总成,L=500+450*2 1拖2 小握距/普通蹄块,93.5,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""EA70"", ""section"": null, ""variant"": null, ""callout_no"": ""1"", ""confidence"": ""high"", ""model_code"": ""EA70""}]"
404007-0011,front brake pad,前碟刹蹄块,普通,13.6,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""EA110"", ""section"": null, ""variant"": null, ""callout_no"": ""1-1"", ""confidence"": ""high"", ""model_code"": ""EA110""}]"
404008-0011,front brake bracket,AT110前碟刹支架,黑色,13.6,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""EA110"", ""section"": null, ""variant"": null, ""callout_no"": ""1-2"", ""confidence"": ""high"", ""model_code"": ""EA110""}]"
404002-0016,right brake lever,右制动把,黑色,17,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""EA110"", ""section"": null, ""variant"": null, ""callout_no"": ""1-3"", ""confidence"": ""high"", ""model_code"": ""EA110""}]"
404011-0010,front park lock kit,前碟刹驻车手柄,黑 色 含螺栓/螺母/弹簧,13.6,"[{""make"": ""Kayo"", ""year"": 0, ""model"": ""AU150"", ""section"": null, ""variant"": null, ""callout_no"": null, ""confidence"": ""high"", ""model_code"": ""AU150""}]"
404003-0007,front brake master cylinder,前碟刹上泵体总成 黑色,黑色 含全套附件,28.9,"[{""make"": ""Kayo"", ""year"": 2021, ""model"": ""AU125-2"", ""section"": null, ""variant"": null, ""callout_no"": ""1-4"", ""confidence"": ""high"", ""model_code"": ""AU125-2""}]"
